time,temperature_2m_min,daylight_duration,precipitation_sum,rain_sum,province,country,date
2017-02-19,-0.9,38330.23,0.0,0.0,Nova Scotia,Canada,2017-02-19
2017-02-20,-4.1,38509.78,1.4,0.3,Nova Scotia,Canada,2017-02-20
2017-02-21,-7.0,38690.96,0.0,0.0,Nova Scotia,Canada,2017-02-21
2017-02-22,-10.0,38873.62,0.0,0.0,Nova Scotia,Canada,2017-02-22
2017-02-23,-1.2,39057.59,0.0,0.0,Nova Scotia,Canada,2017-02-23
2017-02-24,1.7,39242.73,0.2,0.2,Nova Scotia,Canada,2017-02-24
2017-02-25,2.8,39428.87,2.6,2.6,Nova Scotia,Canada,2017-02-25
2017-02-26,0.8,39615.87,24.1,24.1,Nova Scotia,Canada,2017-02-26
2017-02-27,-6.9,39803.57,0.0,0.0,Nova Scotia,Canada,2017-02-27
2017-02-28,-4.1,39991.84,0.0,0.0,Nova Scotia,Canada,2017-02-28
2017-03-01,-4.8,40180.53,0.2,0.2,Nova Scotia,Canada,2017-03-01
2017-03-02,3.1,40369.49,1.2,1.2,Nova Scotia,Canada,2017-03-02
2017-03-03,-7.7,40558.6,0.1,0.1,Nova Scotia,Canada,2017-03-03
2017-03-04,-12.7,40747.7,0.0,0.0,Nova Scotia,Canada,2017-03-04
2017-03-05,-12.9,40936.68,0.6,0.0,Nova Scotia,Canada,2017-03-05
2017-03-06,-9.6,41125.38,0.0,0.0,Nova Scotia,Canada,2017-03-06
2017-03-07,-7.4,41313.68,0.0,0.0,Nova Scotia,Canada,2017-03-07
2017-03-08,-1.6,41501.44,9.0,6.0,Nova Scotia,Canada,2017-03-08
2017-03-09,0.1,41688.53,1.3,1.3,Nova Scotia,Canada,2017-03-09
2017-03-10,-6.3,41875.07,0.0,0.0,Nova Scotia,Canada,2017-03-10
2017-03-11,-14.9,42062.48,1.7,0.0,Nova Scotia,Canada,2017-03-11
2017-03-12,-17.3,42250.88,0.0,0.0,Nova Scotia,Canada,2017-03-12
2017-03-13,-10.5,42440.15,0.0,0.0,Nova Scotia,Canada,2017-03-13
2017-03-14,-7.2,42630.17,2.4,0.0,Nova Scotia,Canada,2017-03-14
2017-03-15,0.4,42820.81,18.2,5.6,Nova Scotia,Canada,2017-03-15
2017-03-16,-3.7,43011.96,1.3,0.0,Nova Scotia,Canada,2017-03-16
2017-03-17,-4.7,43203.5,0.3,0.0,Nova Scotia,Canada,2017-03-17
2017-03-18,-6.4,43395.31,0.0,0.0,Nova Scotia,Canada,2017-03-18
2017-03-19,-6.7,43587.27,0.6,0.0,Nova Scotia,Canada,2017-03-19
2017-03-20,-1.6,43779.27,12.8,0.2,Nova Scotia,Canada,2017-03-20
2017-03-21,-2.7,43971.17,0.0,0.0,Nova Scotia,Canada,2017-03-21
2017-03-22,-2.7,44162.87,3.2,2.2,Nova Scotia,Canada,2017-03-22
2017-03-23,-9.8,44354.25,5.5,0.3,Nova Scotia,Canada,2017-03-23
