Province,A(H1N1)pdm09,AH3,Auns,A,B,RSV,PIV1,PIV2,PIV3,PIV4,PIV-Other,ADENO,HMPV,RHINO,Corona,EndingDate
Quebec,0.0,0.0,0.0,0.0,0.0,3.0,7.0,3.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,2013-10-12
Onatrio,1.0,0.0,1.0,3.0,1.0,4.0,12.0,1.0,3.0,0.0,3.0,4.0,0.0,80.0,2.0,2013-10-12
Manitoba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013-10-12
Saskatchewan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,43.0,0.0,2013-10-12
Alberta,0.0,0.0,1.0,2.0,0.0,7.0,26.0,0.0,0.0,0.0,0.0,5.0,4.0,123.0,1.0,2013-10-12
British Columbia,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,2013-10-12
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-10-19
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2013-10-19
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2013-10-19
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-10-19
Quebec,0.0,0.0,0.0,1.0,0.0,2.0,9.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,1.0,2013-10-19
Onatrio,0.0,0.0,0.0,1.0,0.0,6.0,17.0,1.0,3.0,4.0,0.0,6.0,0.0,71.0,0.0,2013-10-19
Manitoba,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2013-10-19
Saskatchewan,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,36.0,0.0,2013-10-19
Alberta,0.0,0.0,0.0,1.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0,3.0,0.0,90.0,0.0,2013-10-19
British Columbia,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,37.0,3.0,2013-10-19
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-10-26
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-10-26
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2013-10-26
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-10-26
Quebec,0.0,0.0,0.0,2.0,0.0,10.0,4.0,4.0,1.0,2.0,0.0,20.0,0.0,0.0,0.0,2013-10-26
Onatrio,0.0,0.0,5.0,5.0,3.0,10.0,23.0,5.0,4.0,1.0,0.0,5.0,3.0,52.0,1.0,2013-10-26
Manitoba,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2013-10-26
Saskatchewan,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,10.0,0.0,39.0,1.0,2013-10-26
Alberta,1.0,0.0,3.0,5.0,5.0,2.0,20.0,0.0,0.0,0.0,0.0,6.0,2.0,75.0,0.0,2013-10-26
British Columbia,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,2013-10-26
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-02
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2013-11-02
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2013-11-02
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-02
Quebec,0.0,0.0,0.0,2.0,1.0,17.0,7.0,2.0,2.0,4.0,0.0,13.0,1.0,0.0,0.0,2013-11-02
Onatrio,4.0,0.0,4.0,12.0,0.0,10.0,18.0,2.0,1.0,4.0,0.0,12.0,4.0,37.0,4.0,2013-11-02
Manitoba,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2013-11-02
Saskatchewan,1.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,5.0,0.0,6.0,1.0,27.0,2.0,2013-11-02
Alberta,3.0,0.0,0.0,5.0,2.0,4.0,37.0,0.0,0.0,0.0,0.0,8.0,8.0,99.0,0.0,2013-11-02
British Columbia,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,17.0,0.0,2013-11-02
Newfoundland,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-09
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2013-11-09
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013-11-09
New Brunswick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-09
Quebec,0.0,0.0,0.0,5.0,1.0,14.0,3.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,2013-11-09
Onatrio,5.0,0.0,5.0,12.0,1.0,8.0,14.0,0.0,5.0,6.0,1.0,9.0,1.0,41.0,1.0,2013-11-09
Manitoba,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,2013-11-09
Saskatchewan,1.0,0.0,0.0,2.0,0.0,1.0,12.0,1.0,1.0,0.0,2.0,12.0,2.0,50.0,0.0,2013-11-09
Alberta,7.0,0.0,1.0,10.0,3.0,4.0,43.0,0.0,0.0,0.0,0.0,10.0,2.0,95.0,0.0,2013-11-09
British Columbia,1.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,2013-11-09
Newfoundland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-16
Prince Edward Island,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2013-11-16
Nova Scotia,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2013-11-16
New Brunswick,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-11-16
Quebec,0.0,0.0,0.0,5.0,10.0,23.0,6.0,1.0,1.0,4.0,0.0,13.0,2.0,0.0,0.0,2013-11-16
Onatrio,13.0,0.0,4.0,20.0,1.0,21.0,36.0,2.0,3.0,1.0,2.0,8.0,4.0,53.0,6.0,2013-11-16
Manitoba,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2013-11-16
